head	relation	tail	time	confidence								
0	15	1275	5304	1								
0	41	75	2208	1								
0	10	12	4680	1								
0	9	75	4248	1								
0	17	96	3408	1								
0	43	177	2208	1								
0	24	121	1872	1								
0	11	20	4680	1								
0	15	17	5304	1								
0	17	713	3408	1								
0	36	60	4128	1								
0	77	46	4032	0.95								
0	9	851	4248	0.95								
0	38	18	2352	0.95								
0	77	384	8400	0.95								
0	11	75	4680	0.95								
0	11	633	4680	0.95								
0	11	84	4680	0.8								
0	77	1	8400	0.8								
0	77	446	8400	0.8								
0	180	95	3408	0.8								
0	9	384	4248	0.77								
0	9	1449	4248	0.77								
0	15	95	1224	0.77								
0	18	66	6744	0.77								
0	41	502	2208	0.77								
0	41	1685	552	0.77								
0	44	384	8448	0.77								
0	77	5759	8040	0.77								
0	9	36	4248	0.74								
0	9	399	4248	0.74								
0	11	36	4680	0.74								
0	14	95	5304	0.74								
0	15	93	1224	0.74								
0	15	218	6552	0.74								
0	15	1045	5304	0.74								
0	16	2336	2448	0.74								
0	17	30	840	0.74								
0	18	446	8328	0.74								
0	44	1	7704	0.74								
0	44	189	4512	0.74								
0	44	1052	7704	0.74								
0	117	95	4680	0.74								
0	4	46	7368	0.51								
0	9	1	4248	0.51								
0	9	55	4248	0.51								
0	9	84	4248	0.51								
0	9	1503	4248	0.51								
0	11	1	4680	0.51								
0	11	18	4680	0.51								
0	11	1339	4680	0.51								
0	14	12	4680	0.51								
0	14	84	6216	0.51								
0	14	85	2232	0.51								
0	14	460	4680	0.51								
0	17	46	4152	0.51								
0	17	69	4152	0.51								
0	17	320	3912	0.51								
0	18	50	7416	0.51								
0	18	55	528	0.51								
0	18	391	1560	0.51								
0	18	3243	6840	0.51								
0	22	18	1080	0.51								
0	24	46	3240	0.51								
0	25	95	6048	0.51								
0	25	218	120	0.51								
0	41	189	552	0.51								
0	41	823	2208	0.51								
0	41	938	2208	0.51								
0	43	384	7608	0.51								
0	43	897	2352	0.51								
0	44	1435	7704	0.51								
0	77	179	8400	0.51								
0	0	1	0	0.73								
0	0	46	4680	0.73								
0	4	8	7368	0.73								
0	7	18	6024	0.73								
0	7	50	6024	0.73								
0	7	75	4032	0.73								
0	7	131	6024	0.73								
0	7	140	6024	0.73								
0	7	1605	6024	0.73								
0	7	2007	6024	0.73								
0	9	12	4248	0.73								
0	9	17	4248	0.73								
0	9	18	4248	0.73								
0	9	22	4248	0.73								
0	9	85	4248	0.73								
0	9	95	4248	0.73								
0	9	96	4248	0.73								
0	9	190	4248	0.73								
0	9	198	4248	0.73								
0	9	214	4248	0.73								
0	9	267	4248	0.73								
0	9	391	4248	0.73								
0	9	538	4248	0.73								
0	9	748	4248	0.73								
0	9	753	4248	0.73								
0	9	922	4248	0.73								
0	9	982	4248	0.73								
0	10	46	4680	0.73								
0	11	8	4680	0.73								
0	11	10	4680	0.73								
0	11	17	4680	0.73								
0	11	29	4680	0.73								
0	11	46	4680	0.73								
0	11	92	4680	0.73								
0	11	95	4680	0.73								
0	11	202	4680	0.73								
0	11	267	4680	0.73								
0	11	331	4680	0.73								
0	11	384	4680	0.73								
0	11	862	4680	0.73								
0	11	871	4680	0.73								
0	11	1685	4680	0.73								
0	14	17	4680	0.73								
0	14	18	4680	0.73								
0	14	36	4680	0.73								
0	14	39	4680	0.73								
0	14	96	5304	0.73								
0	14	180	4680	0.73								
0	14	198	4680	0.73								
0	14	267	4680	0.73								
0	14	322	4680	0.73								
0	14	365	4680	0.73								
0	14	543	4680	0.73								
0	14	627	4680	0.73								
0	14	753	4680	0.73								
0	14	851	7560	0.73								
0	14	922	5304	0.73								
0	14	1051	4680	0.73								
0	14	1255	4680	0.73								
0	14	1339	4680	0.73								
0	15	5	3696	0.73								
0	15	8	1224	0.73								
0	15	12	5304	0.73								
0	15	18	6552	0.73								
0	15	39	4536	0.73								
0	15	46	3696	0.73								
0	15	54	6432	0.73								
0	15	69	4848	0.73								
0	15	75	1224	0.73								
0	15	399	4536	0.73								
0	15	529	3696	0.73								
0	15	544	6432	0.73								
0	15	574	6432	0.73								
0	15	713	1416	0.73								
0	15	953	1224	0.73								
0	15	1272	5304	0.73								
0	15	1435	5304	0.73								
0	16	36	2448	0.73								
0	17	1	1800	0.73								
0	17	18	4584	0.73								
0	17	331	3480	0.73								
0	17	334	4152	0.73								
0	18	1	8424	0.73								
0	18	18	1080	0.73								
0	18	29	2328	0.73								
0	18	75	7776	0.73								
0	18	92	6072	0.73								
0	18	95	6072	0.73								
0	18	96	6072	0.73								
0	18	140	8424	0.73								
0	18	189	1080	0.73								
0	18	190	1080	0.73								
0	18	202	4896	0.73								
0	18	214	6360	0.73								
0	18	242	1608	0.73								
0	18	254	2328	0.73								
0	18	322	6840	0.73								
0	18	384	8688	0.73								
0	18	399	4200	0.73								
0	18	455	5928	0.73								
0	18	460	6072	0.73								
0	18	498	7416	0.73								
0	18	541	528	0.73								
0	18	591	6744	0.73								
0	18	748	7776	0.73								
0	18	777	7992	0.73								
0	18	823	6072	0.73								
0	18	897	6072	0.73								
0	18	922	6072	0.73								
0	18	953	6072	0.73								
0	18	1435	8424	0.73								
0	18	1702	8424	0.73								
0	18	1782	8424	0.73								
0	18	1842	1080	0.73								
0	18	2370	6360	0.73								
0	18	2444	1608	0.73								
0	18	5737	528	0.73								
0	20	18	1080	0.73								
0	20	46	288	0.73								
0	24	1	1872	0.73								
0	24	36	6336	0.73								
0	24	39	3240	0.73								
0	24	69	3240	0.73								
0	24	95	6504	0.73								
0	24	185	1872	0.73								
0	24	189	1872	0.73								
0	24	190	1872	0.73								
0	24	302	1872	0.73								
0	24	871	5016	0.73								
0	24	892	6504	0.73								
0	25	1	120	0.73								
0	25	125	120	0.73								
0	25	3689	120	0.73								
0	28	2687	1152	0.73								
0	31	5714	5328	0.73								
0	36	30	1128	0.73								
0	36	69	4848	0.73								
0	36	129	5328	0.73								
0	36	3962	1128	0.73								
0	38	8	5376	0.73								
0	38	30	2352	0.73								
0	38	46	2352	0.73								
0	38	60	2352	0.73								
0	41	1	552	0.73								
0	41	55	2208	0.73								
0	41	202	4608	0.73								
0	41	322	4848	0.73								
0	41	384	8352	0.73								
0	41	446	2208	0.73								
0	41	529	2208	0.73								
0	41	541	2208	0.73								
0	41	602	2208	0.73								
0	41	644	2208	0.73								
0	41	645	2208	0.73								
0	41	871	2208	0.73								
0	41	1605	552	0.73								
0	41	3828	4848	0.73								
0	43	36	8112	0.73								
0	43	446	7464	0.73								
0	43	871	4056	0.73								
0	43	922	5352	0.73								
0	44	18	8520	0.73								
0	44	36	4512	0.73								
0	44	446	7368	0.73								
0	44	871	7368	0.73								
0	48	30	336	0.73								
0	48	36	6816	0.73								
0	48	46	8184	0.73								
0	54	60	1416	0.73								
0	71	1635	6024	0.73								
0	77	55	7512	0.73								
0	77	322	8400	0.73								
0	77	460	4032	0.73								
0	77	498	4032	0.73								
0	80	96	4248	0.73								
0	111	69	4680	0.73								
0	175	1275	4152	0.73								
0	209	95	288	0.73								
1	9	5	1200	1								
1	18	290	2184	1								
1	0	970	6336	1								
1	4	1449	8712	1								
1	12	49	6696	1								
1	18	708	8688	1								
1	44	0	8160	1								
1	11	291	1560	1								
1	9	140	6552	0.95								
1	9	49	1200	0.95								
1	18	1449	8424	0.95								
1	2	1002	4416	0.8								
1	24	1289	3552	0.8								
1	7	538	4920	0.77								
1	63	96	5832	0.77								
1	77	26	3048	0.77								
1	9	69	768	0.74								
1	11	26	1560	0.74								
1	18	721	8688	0.74								
1	18	1091	8424	0.74								
1	28	538	1368	0.74								
1	36	46	6384	0.74								
1	48	1288	6456	0.74								
1	4	612	8256	0.51								
1	7	2262	4920	0.51								
1	9	26	1464	0.51								
1	9	1289	480	0.51								
1	11	586	1560	0.51								
1	11	1449	1560	0.51								
1	15	0	4872	0.51								
1	15	69	4248	0.51								
1	15	1289	4872	0.51								
1	18	323	2160	0.51								
1	18	1283	8424	0.51								
1	18	2525	8424	0.51								
1	19	0	768	0.51								
1	31	2573	3744	0.51								
1	38	262	3984	0.51								
1	48	49	6456	0.51								
1	56	708	3960	0.51								
1	77	0	2832	0.51								
1	103	0	1560	0.51								
1	128	69	3648	0.51								
1	0	0	0	0.73								
1	0	69	2736	0.73								
1	0	502	0	0.73								
1	0	3130	0	0.73								
1	4	0	5112	0.73								
1	4	26	7488	0.73								
1	4	49	8136	0.73								
1	4	69	8256	0.73								
1	4	970	6456	0.73								
1	4	2103	7488	0.73								
1	7	5	4920	0.73								
1	7	49	4920	0.73								
1	7	391	4920	0.73								
1	9	0	5688	0.73								
1	9	198	2664	0.73								
1	9	262	1464	0.73								
1	9	538	768	0.73								
1	9	610	768	0.73								
1	9	970	768	0.73								
1	9	1197	2880	0.73								
1	9	1449	6552	0.73								
